Pays,Club,Championnat,Etoiles
Allemagne,Union Berlin,Bundesliga,4.00
Allemagne,Holstein Kiel,Bundesliga,3.00
Allemagne,Frankfurt,Bundesliga,4.00
Allemagne,FC Bayern Munchen,Bundesliga,5.00
Allemagne,Leverkusen,Bundesliga,5.00
Allemagne,SV Werder Bremen,Bundesliga,3.50
Allemagne,VfL Wolfsburg,Bundesliga,4.00
Allemagne,VfL Bochum 1848,Bundesliga,3.50
Allemagne,Borussia Dortmund,Bundesliga,4.50
Allemagne,M'gladbach,Bundesliga,4.00
Allemagne,TSG Hoffenheim,Bundesliga,4.00
Allemagne,FSV Mainz 05,Bundesliga,3.50
Allemagne,SC Freiburg,Bundesliga,4.00
Allemagne,FC St. Pauli,Bundesliga,3.00
Allemagne,FC Augsburg,Bundesliga,3.50
Allemagne,VfB Stuttgart,Bundesliga,4.00
Allemagne,TSG Hoffenheim,Bundesliga,3.50
Allemagne,RB Leipzig,Bundesliga,4.50
Allemagne,Eint. Brunswick,Bundesliga 2,2.50
Allemagne,Dusseldorf,Bundesliga 2,3.00
Allemagne,Magdebourg,Bundesliga 2,2.50
Allemagne,Jahn Regensburg,Bundesliga 2,2.00
Allemagne,FC Schalke 04,Bundesliga 2,3.00
Allemagne,Hamburger SV,Bundesliga 2,3.50
Allemagne,Hannover 96,Bundesliga 2,3.00
Allemagne,Hertha BSC,Bundesliga 2,3.50
Allemagne,Karlsruher SC,Bundesliga 2,2.50
Allemagne,FC Nurnberg,Bundesliga 2,2.50
Allemagne,FC KOln,Bundesliga 2,3.50
Allemagne,Furth,Bundesliga 2,2.50
Allemagne,Kaiserslautern,Bundesliga 2,2.50
Allemagne,SC Paderborn 07,Bundesliga 2,2.50 
Allemagne,Preu?en Munster,Bundesliga 2,2.00 
Allemagne,SV Elversberg,Bundesliga 2,2.50 
Allemagne,SV Darmstadt 98,Bundesliga 2,3.00 
Allemagne,SSV Ulm 1846,Bundesliga 2,2.00 
Allemagne,Dynamo Dresden,3. Liga,2.00 
Allemagne,Rot-Weiss Essen,3. Liga,1.50 
Allemagne,SC Verl,3. Liga,1.50 
Allemagne,B. Dortmund II,3. Liga,1.50 
Allemagne,VfB Stuttgart II,3. Liga,1.00 
Allemagne,SV Sandhausen,3. Liga,2.00 
Allemagne,FC Ingolstadt 04,3. Liga,2.00 
Allemagne,Unterhaching,3. Liga,1.00 
Allemagne,Energie Cottbus,3. Liga,1.50 
Allemagne,Arminia Bielefeld,3. Liga,2.00 
Allemagne,FC Hansa Rostock,3. Liga,2.00 
Allemagne,Aleman. Aachen,3. Liga,1.50 
Allemagne,Wehen Wiesbaden,3. Liga,2.00 
Allemagne,1860 Munich,3. Liga,2.00 
Allemagne,VfL Osnabruck,3. Liga,2.00 
Allemagne,FC Erzgebirge Aue,3. Liga,1.50 
Allemagne,SV Waldhof,3. Liga,2.00 
Allemagne,Hannover 96 II,3. Liga,1.00 
Allemagne,Sarrebruck,3. Liga,2.00 
Allemagne,Viktoria KOln,3. Liga,1.50 
