Pays,Club,Championnat,Etoiles
Germany,Union Berlin,Bundesliga,4.00
Germany,Holstein Kiel,Bundesliga,3.00
Germany,Frankfurt,Bundesliga,4.00
Germany,FC Bayern Munchen,Bundesliga,5.00
Germany,Leverkusen,Bundesliga,5.00
Germany,SV Werder Bremen,Bundesliga,3.50
Germany,VfL Wolfsburg,Bundesliga,4.00
Germany,VfL Bochum 1848,Bundesliga,3.50
Germany,Borussia Dortmund,Bundesliga,4.50
Germany,M'gladbach,Bundesliga,4.00
Germany,TSG Hoffenheim,Bundesliga,4.00
Germany,FSV Mainz 05,Bundesliga,3.50
Germany,SC Freiburg,Bundesliga,4.00
Germany,FC St. Pauli,Bundesliga,3.00
Germany,FC Augsburg,Bundesliga,3.50
Germany,VfB Stuttgart,Bundesliga,4.00
Germany,TSG Hoffenheim,Bundesliga,3.50
Germany,RB Leipzig,Bundesliga,4.50
Germany,Eint. Brunswick,Bundesliga 2,2.50
Germany,Dusseldorf,Bundesliga 2,3.00
Germany,Magdebourg,Bundesliga 2,2.50
Germany,Jahn Regensburg,Bundesliga 2,2.00
Germany,FC Schalke 04,Bundesliga 2,3.00
Germany,Hamburger SV,Bundesliga 2,3.50
Germany,Hannover 96,Bundesliga 2,3.00
Germany,Hertha BSC,Bundesliga 2,3.50
Germany,Karlsruher SC,Bundesliga 2,2.50
Germany,FC Nurnberg,Bundesliga 2,2.50
Germany,FC KOln,Bundesliga 2,3.50
Germany,Furth,Bundesliga 2,2.50
Germany,Kaiserslautern,Bundesliga 2,2.50
Germany,SC Paderborn 07,Bundesliga 2,2.50 
Germany,Preu?en Munster,Bundesliga 2,2.00 
Germany,SV Elversberg,Bundesliga 2,2.50 
Germany,SV Darmstadt 98,Bundesliga 2,3.00 
Germany,SSV Ulm 1846,Bundesliga 2,2.00 
Germany,Dynamo Dresden,3. Liga,2.00 
Germany,Rot-Weiss Essen,3. Liga,1.50 
Germany,SC Verl,3. Liga,1.50 
Germany,B. Dortmund II,3. Liga,1.50 
Germany,VfB Stuttgart II,3. Liga,1.00 
Germany,SV Sandhausen,3. Liga,2.00 
Germany,FC Ingolstadt 04,3. Liga,2.00 
Germany,Unterhaching,3. Liga,1.00 
Germany,Energie Cottbus,3. Liga,1.50 
Germany,Arminia Bielefeld,3. Liga,2.00 
Germany,FC Hansa Rostock,3. Liga,2.00 
Germany,Aleman. Aachen,3. Liga,1.50 
Germany,Wehen Wiesbaden,3. Liga,2.00 
Germany,1860 Munich,3. Liga,2.00 
